Price,Review,ReviewRating,Photo
$$,Hands down the best burger in Boston. Came here for lunch on 10/24/19. I'm a huge burger guy and I've tried many especially in LA and this is up there with...,5,https://s3-media2.fl.yelpcdn.com/bphoto/b6JvSvlGsKAKynaznd7tKg/o.jpg
$,"This was my first time going to Tenoch and it was awesome! It is a cool spot in east Cambridge. I'm not sure if parking is a convenient option, but it is...",5,https://s3-media4.fl.yelpcdn.com/bphoto/wiN501i9KCMYy45psvtUMw/o.jpg
$$$$,"Beyond amazing!  One of the best if not the best omakase experience I've ever had.  Beautiful, delicious, creative and unique flavors. 

Ambiance was great...",5,https://s3-media3.fl.yelpcdn.com/bphoto/1BF3QAoZmY9fXfwgb4rIXg/o.jpg
$$,People wait in line for Regina's which has dropped off the cliff in quality while just up the street you can get a far superior pizza and sadly I am the...,5,https://s3-media2.fl.yelpcdn.com/bphoto/derEYD_f-F1p-O8wNaRyYg/o.jpg
$$$,"We saw a lot of great reviews for this place so we had to stop by while visiting Boston. There were only 2-3 parties in line so we walked in line too,...",5,https://s3-media4.fl.yelpcdn.com/bphoto/qzU7C1wTPZTaalC78GiwNQ/o.jpg
$$,"Weekend trip!!! Wow wow wow
This delicious gem is hidden in the back in a cute corner of the warehouse area. Keep walking I promise you'll run into it. 
I...",5,https://s3-media3.fl.yelpcdn.com/bphoto/_wAbeXqqrcqfZNB4e3TJvw/o.jpg
$,"This place is amazing - love the food and outstanding service!

I've been coming here for a long time now, both for lunches and take home dinners for the...",5,https://s3-media2.fl.yelpcdn.com/bphoto/3gwzneFJ4g9L-68Wc-0Ycw/o.jpg
$$,"My boyfriend and I went to this restaurant before my travels abroad and it was one of the best experiences we've had, especially with customer service....",5,https://s3-media2.fl.yelpcdn.com/bphoto/Kag6FbFN1RnD8tzQVuB7Vg/o.jpg
$,"Simply the best bakery(square)  pizza, arancini, panzaroti, and calzone (and all the other things.) The owner was born in Italy and has been doing this for...",5,https://s3-media1.fl.yelpcdn.com/bphoto/tNZbSM1ZOvju9zevxv_JZw/o.jpg
$,Amazing place! The staff all speak Italian and really care about the food they prepare. Same quality as restaurants in the North End with half the price.,5,https://s3-media4.fl.yelpcdn.com/bphoto/uT6YEoi-gsWBneY6q6q0mw/o.jpg
